"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"  2062 Aten (1976 AA)",60600,0.967,0.1829,18.93,108.53,148.06,338.03,1.1,N,ATE,347
"  2100 Ra-Shalom (1978 RA)",60600,0.832,0.4365,15.75,170.78,356.08,89.62,2.3,N,ATE,277
"  2340 Hathor (1976 UA)",60600,0.8438,0.4500,5.86,211.29,40.10,53.40,0.3,Y,ATE,283
"  3362 Khufu (1984 QA)",60600,0.9895,0.4685,9.92,152.40,55.09,359.85,0.7,Y,ATE,360
"  3554 Amun (1986 EB)",60600,0.974,0.2806,23.36,358.60,359.42,226.57,3.341,N,ATE,351
"  3753 Cruithne (1986 TO)",60600,0.9978,0.5148,19.80,126.19,43.88,308.80,2.071,N,ATE,364
"  5381 Sekhmet (1991 JY)",60600,0.9475,0.2964,48.97,58.53,37.42,199.13,0.935,N,ATE,337
"  5590 (1990 VA)",60600,0.9864,0.2802,14.18,216.26,34.47,25.89,,N,ATE,358
"  5604 (1992 FE)",60600,0.9286,0.4061,4.71,311.89,82.68,269.92,0.55,Y,ATE,327
" 33342 (1998 WT24)",60600,0.7187,0.4177,7.37,81.66,167.52,27.50,0.432,Y,ATE,223
" 65679 (1989 UQ)",60600,0.9148,0.2647,1.30,178.08,15.01,195.92,0.918,Y,ATE,320
" 66063 (1998 RO1)",60600,0.991,0.7200,22.69,351.84,151.16,66.66,,N,ATE,360
" 66146 (1998 TU3)",60600,0.7875,0.4838,5.41,101.97,84.91,230.70,2.864,N,ATE,255
" 66391 Moshup (1999 KW4)",60600,0.6424,0.6884,38.88,244.90,192.65,296.90,1.317,Y,ATE,188
" 66400 (1999 LT7)",60600,0.8554,0.5726,9.06,79.80,341.41,247.27,0.411,N,ATE,289
" 68347 (2001 KB67)",60600,0.9616,0.3799,17.13,245.86,243.82,352.38,,Y,ATE,344
" 85770 (1998 UP1)",60600,0.9977,0.3452,33.18,18.33,234.23,117.08,,N,ATE,364
" 85953 (1999 FK21)",60600,0.7388,0.7030,12.60,180.45,172.42,358.20,0.59,N,ATE,232
" 85989 (1999 JD6)",60600,0.8831,0.6329,17.07,130.15,309.25,338.43,1.462,Y,ATE,303
" 86450 (2000 CK33)",60600,0.968,0.4148,18.11,124.84,215.60,76.04,,N,ATE,348
" 86667 (2000 FO10)",60600,0.8594,0.5946,14.29,208.30,172.49,94.23,0.745,N,ATE,291
" 87309 (2000 QP)",60600,0.8475,0.4631,34.74,294.27,188.17,229.25,0.568,N,ATE,285
" 87684 (2000 SY2)",60600,0.8587,0.6428,19.22,162.01,47.81,182.98,,Y,ATE,291
" 88213 (2001 AF2)",60600,0.954,0.5952,17.81,114.25,194.99,314.29,0.912,N,ATE,340
" 96590 (1998 XB)",60600,0.9079,0.3512,13.60,75.68,202.70,157.89,0.882,N,ATE,316
" 99907 (1989 VA)",60600,0.7284,0.5948,28.80,225.58,2.87,241.61,1.4,N,ATE,227
" 99942 Apophis (2004 MN4)",60600,0.9224,0.1911,3.34,203.90,126.67,227.76,0.34,Y,ATE,324
"105140 (2000 NL10)",60600,0.9143,0.8169,32.54,237.29,281.67,35.84,1.946,N,ATE,319
"136818 Selqet (1997 MW1)",60600,0.9375,0.3463,12.78,259.92,203.83,195.02,,N,ATE,332
"137170 (1999 HF1)",60600,0.8192,0.4625,25.66,155.85,253.42,249.07,,N,ATE,271
"137805 (1999 YK5)",60600,0.8294,0.5583,16.75,349.53,292.86,90.64,2.243,N,ATE,276
"137924 (2000 BD19)",60600,0.8764,0.8949,25.74,333.69,324.35,212.72,0.970,N,ATE,300
"138127 (2000 EE14)",60600,0.6618,0.5331,26.46,155.75,197.86,76.31,0.754,Y,ATE,197
"138258 (2000 GD2)",60600,0.7578,0.4767,32.14,358.12,16.98,220.10,,N,ATE,241
"140333 (2001 TD2)",60600,0.9619,0.4816,19.03,12.81,199.11,256.15,,N,ATE,345
"141424 (2002 CD)",60600,0.9799,0.1768,6.88,8.66,331.79,278.89,,N,ATE,354
"141432 (2002 CQ11)",60600,0.9762,0.4275,2.47,81.34,272.65,241.70,0.239,Y,ATE,352
"141484 (2002 DB4)",60600,0.8579,0.3695,16.60,234.23,94.16,279.38,1.034,N,ATE,290
"141498 (2002 EZ16)",60600,0.9216,0.5666,30.14,262.89,25.35,329.63,,N,ATE,323
"141531 (2002 GB)",60600,0.9921,0.5290,22.55,40.81,8.32,1.94,0.303,N,ATE,361
"144900 (2004 VG64)",60600,0.9683,0.6557,36.25,208.85,43.93,29.68,,Y,ATE,348
"152563 (1992 BF)",60600,0.9079,0.2716,7.25,315.19,336.55,146.53,0.272,N,ATE,316
"152637 (1997 NC1)",60600,0.8649,0.2085,16.72,96.46,16.59,115.84,,Y,ATE,294
"152742 (1998 XE12)",60600,0.8781,0.7392,13.43,280.02,353.16,257.41,0.413,N,ATE,301
"152931 (2000 EA107)",60600,0.9297,0.4557,28.58,52.88,278.02,337.31,1.646,N,ATE,327
"153201 (2000 WO107)",60600,0.9111,0.7808,7.77,69.20,213.75,219.51,0.510,Y,ATE,318
"153415 (2001 QP153)",60600,0.8915,0.2139,50.21,317.67,244.28,290.70,,N,ATE,307
"162004 (1991 VE)",60600,0.8907,0.6647,7.22,61.85,193.66,153.84,,N,ATE,307
"162015 (1994 TF2)",60600,0.9931,0.2838,23.75,175.23,349.78,345.89,,N,ATE,361
"162080 (1998 DG16)",60600,0.8967,0.3582,16.21,344.33,356.88,323.78,0.777,N,ATE,310
"162117 (1998 SD15)",60600,0.9326,0.3449,26.80,183.92,35.86,86.99,,N,ATE,329
"162142 (1998 VR)",60600,0.8753,0.3179,21.81,46.36,170.75,75.02,0.462,N,ATE,299
"162361 (2000 AF6)",60600,0.8758,0.4110,2.71,109.86,201.27,188.82,,Y,ATE,299
"162385 (2000 BM19)",60600,0.7407,0.3586,6.88,70.21,247.71,47.29,0.812,N,ATE,233
"162421 (2000 ET70)",60600,0.9467,0.1238,22.32,331.12,46.07,31.49,,Y,ATE,336
"162483 (2000 PJ5)",60600,0.8727,0.3737,51.18,124.41,7.65,22.18,0.906,N,ATE,298
"162694 (2000 UH11)",60600,0.8703,0.4224,32.23,29.78,187.42,3.56,,N,ATE,297
"163023 (2001 XU1)",60600,0.7974,0.5464,27.15,69.69,208.52,155.88,,N,ATE,260
"163243 (2002 FB3)",60600,0.7616,0.6016,20.28,203.56,148.34,109.40,1.682,Y,ATE,243
"163348 (2002 NN4)",60600,0.8758,0.4345,5.42,259.43,222.21,207.78,0.735,Y,ATE,299
"163693 Atira (2003 CP20)",60600,0.741,0.3221,25.62,103.87,252.94,139.17,,N,IEO,233
"163899 (2003 SD220)",60600,0.8276,0.2100,8.54,273.71,326.99,128.47,0.791,Y,ATE,275
"164202 (2004 EW)",60600,0.988,0.2791,4.67,342.90,56.21,79.77,,Y,ATE,359
"164294 (2004 XZ130)",60600,0.6175,0.4545,2.95,211.15,5.42,134.44,,N,IEO,177
"168044 (2005 SG)",60600,0.9813,0.2833,34.83,23.52,205.53,324.48,,N,ATE,355
"187026 (2005 EK70)",60600,0.9596,0.1354,30.00,329.78,347.02,88.86,,N,ATE,343
"188174 (2002 JC)",60600,0.8189,0.3907,40.86,69.38,306.92,284.90,,N,ATE,271
"199003 (2005 WJ56)",60600,0.959,0.1521,21.62,288.02,297.65,207.09,,Y,ATE,343
"202683 (2006 US216)",60600,0.6371,0.5624,3.44,193.26,56.42,257.35,,Y,ATE,186
"203471 (2002 AU4)",60600,0.8554,0.3735,17.18,99.42,205.19,94.52,,N,ATE,289
"208023 (1999 AQ10)",60600,0.9338,0.2354,6.50,326.97,300.57,33.11,,Y,ATE,330
"209215 (2003 WP25)",60600,0.9891,0.1213,2.56,40.76,226.46,228.16,,N,ATE,359
